difference0,difference1,difference2,difference3,difference4,difference5,difference6,difference7,difference8,difference9,difference10,difference11,difference12,difference13,difference14,difference15,difference16,difference17,difference18,difference19,difference20,difference21,difference22,difference23,difference24,z_score
-5.908830442,-5.059295488,-2.376648836,-5.371166604,-7.284862838,-7.710066917,-11.16786719,0.540425275,-9.504366023,-4.393968911,-7.233040418,-12.88593625,-12.07790349,-1.16990676,-1.790112401,-5.143346655,-4.60976591,-3.75717806,-9.911220212,-10.89229275,-3.37025283,-3.881036627,-7.669453919,-10.2326216,-15.4428732,-0.791304047
2.711905058,1.849306492,0.743849308,-3.399293163,-1.589350019,-9.493145509,-2.573313488,-2.145689339,-6.02884669,-5.172444814,-14.83491258,-14.86153607,-3.392112271,1.495077814,-5.78964047,-17.40214218,-20.22974835,-17.29891804,-22.98722043,-16.04304485,-2.388117185,1.175796802,-3.159183066,-2.712182156,-3.208731833,-0.900764052
-8.375123106,-3.147298748,-6.480025743,-8.447317425,-9.811766197,-15.41098045,-5.205072725,-3.549371237,-7.413305334,-5.381364834,-1.683541593,-5.938829369,-4.23922358,3.008190823,-0.590734925,-0.08508841,-6.990718489,-3.225018935,4.235667164,8.457069502,10.0923912,10.13865308,7.337036982,7.932879069,3.012803536,1.562767015
-13.32245233,-3.958642552,-6.212762134,-10.60983086,-22.2759663,-7.144996541,-3.968449755,-4.008391367,-4.359821248,-5.29029034,-17.37976761,0.164041708,0.064427456,-3.681125029,-1.211717436,-17.22030597,-3.949446391,-3.952535954,-6.567704768,-8.915691491,-2.450082698,-4.87317113,-4.466005939,-3.934821706,-6.742184576,1.182873372
-4.835789786,-6.093832165,-3.214498676,-3.103172809,-8.363765741,-7.802428933,-12.0568107,-1.221246436,-2.08045307,-5.620863669,-2.313978194,-0.598217367,-1.98803269,-14.28563473,-11.73255479,-7.463854292,-9.266048705,2.823402552,2.51361904,1.849200411,0.043305336,-0.678017139,-1.311371314,-1.128690274,-9.166681321,1.450748781
-14.14511036,-12.97208038,-13.45067447,-9.280754285,-9.50630779,-10.1734449,-13.70257831,-12.75040857,-8.027558575,-7.786103886,-9.138592811,-12.73077906,-5.401550882,-8.723783494,-9.450780907,-10.41413935,-12.14724815,-8.615785925,-5.234474543,-8.31182747,-8.746592197,-7.1836515,-8.247669444,-9.252396307,-9.504825895,0.795809356
-11.54365127,-10.69480541,-11.06352049,-7.278526317,-7.771720364,-10.7091515,-11.80978677,-8.642908583,-5.183030863,-6.32327138,-7.936417673,-6.220424986,-2.856790471,-3.48082532,-6.303058041,-6.987168855,-7.691220945,-9.440053214,-4.512474246,-2.789482903,-5.01301994,-5.589494628,-5.45970205,-7.026992964,-7.689702497,0.582639472
-12.97451525,-10.22521566,-11.8633405,-12.08713473,-14.28803702,-4.581815413,-3.87628623,-11.65327456,-14.13787471,-8.7648445,-11.48738937,-9.714811069,-11.20042882,-2.223191446,-5.173200746,-7.04112518,-0.903306994,-0.454591362,-4.727410284,-12.19445504,-4.806108912,-4.318253618,-10.82442378,-12.34720686,-10.985365,0.707929092
-4.784685595,-6.617714715,-2.437689957,-5.7428265,-10.36185509,0.753994762,-2.432561007,-2.468994753,-6.997363122,-12.47891497,1.386919061,-1.775915862,4.078697442,5.267737225,-5.294056085,-2.741406084,-6.952520843,-3.532112794,1.236156889,-2.483328608,-12.52693483,-14.77435074,-14.79343562,-21.95397643,-20.59898311,0.811068065
-23.88779484,-24.42205504,-23.75892015,-21.61601296,-22.01333603,-23.22396385,-22.67057547,-22.07867385,-20.91695916,-21.20723378,-22.93767466,-19.56028148,-17.03462261,-20.94546515,-20.23212199,-22.16930284,-23.92207338,-16.83573776,-19.47612074,-19.63102993,-19.14526406,-22.18523927,-21.15981771,-21.05541287,-21.62372871,0.545591262
12.61387359,-2.16855236,0.04054795,2.202834252,-7.00744544,-19.26086222,2.125541735,0.808275915,-6.986918493,2.815763179,-3.862497774,-9.612653397,6.585180396,-3.788956512,2.436115322,2.441762894,4.756813766,1.119522863,-7.259425933,6.292731112,3.809898609,5.244219059,-5.921538322,-1.171253917,-3.655167732,0.562708925
-21.60264713,-10.98499394,-13.00740906,-11.74802018,-7.931859978,-2.96274422,-16.30964672,-12.33677275,-8.603234831,-8.628297549,-5.82817743,-6.05707249,-16.95693692,-7.009362334,-3.749505179,-8.325219065,-8.581534507,-11.10870006,-16.74472566,-5.427506319,-5.22835336,-6.769228018,-7.334601858,-9.653509438,-19.08336904,0.952025982
-12.77298125,-12.10610683,-13.30282128,-10.21898434,-9.437338396,-9.484552008,-9.980076585,-7.741543042,-13.05175516,-8.753326508,-8.402638162,-8.788491806,-6.756260495,-2.867954557,-7.978052411,-9.693394509,-4.921308819,-11.35180212,-3.730179219,-3.553924057,-5.416756316,-8.343478216,-6.445377833,-8.36021012,-8.315961537,0.837206067
-8.897690675,-0.725700777,-6.081486405,-2.830776623,-5.113266411,-6.599458883,-7.208887728,0.207580638,-1.583744106,-2.477698062,-2.608832673,-5.070234423,-3.954896752,1.875859126,-0.696839302,-3.47394716,-5.144723607,-4.927413904,-4.775765952,-0.34859186,-0.689477901,-2.651393901,-2.590806919,-2.039879582,-3.593597511,1.076238011
